week,revenue,meta_spend,paid_search_spend,youtube_spend,tv_spend,promotion,holiday_period,price_index,conversions
2024-05-20,785167.89,42889.35,46533.88,21785.53,40645.19,0,0,100.68,8525
2024-05-27,776163.24,30928.84,41176.51,13350.95,36831.71,0,0,100.64,8412
2024-06-03,809538.35,55578.64,60040.52,20218.84,36150.07,0,0,100.81,8590
2024-06-10,789439.86,50720.62,80698.29,14441.65,27199.66,0,0,100.68,8491
2024-06-17,758658.55,56297.75,67130.78,16095.75,8490.63,0,0,100.57,8220
2024-06-24,776349.9,47697.4,58102.9,16506.74,8738.11,0,0,100.65,8370
2024-07-01,776610.84,57662.19,60884.24,7783.71,24312.19,0,0,100.6,8580
2024-07-08,736972.88,58637.03,43409.7,7945.72,13753.16,0,0,100.6,7994
2024-07-15,783910.43,50987.39,47877.95,18472.93,16635.28,0,0,100.58,8650
2024-07-22,805284.99,48400.28,48129.7,13812.54,25432.1,0,0,100.62,8759
2024-07-29,785143.73,45538.35,46547.11,4276.03,39849.43,0,0,100.79,8538
2024-08-05,835472.53,34310.64,53908.01,21980.08,34657.76,0,0,100.8,9072
2024-08-12,914743.3,42707.83,54325.78,20617.17,24463.95,1,0,100.88,9943
2024-08-19,851067.39,33575.1,60644.27,17079.66,24965.96,0,0,100.63,9423
2024-08-26,887064.49,42026.02,55971.53,15595.79,2000.0,1,0,100.63,9410
2024-09-02,822063.78,39032.92,69409.04,27964.39,17019.29,0,0,100.53,8735
2024-09-09,886587.56,24896.24,75553.68,27146.31,32817.78,0,0,100.38,9583
2024-09-16,873884.64,32753.27,57998.06,38869.47,23557.39,0,0,100.28,9500
2024-09-23,893683.35,46228.06,55970.1,30493.27,35806.37,0,0,100.24,9783
2024-09-30,925623.43,33547.89,66543.81,31586.89,34375.41,0,0,100.35,10108
2024-10-07,924988.39,36244.25,52312.19,29838.53,28180.92,0,0,100.19,10016
2024-10-14,1002452.56,53163.14,58935.39,35508.65,23003.4,1,0,100.19,10998
2024-10-21,991075.67,60552.82,44606.62,34997.82,26459.03,1,0,100.13,10876
2024-10-28,907386.28,50451.65,56564.57,38256.35,24968.51,0,0,100.09,9881
2024-11-04,948550.69,60996.73,57622.43,29189.02,11896.18,0,1,100.21,10407
2024-11-11,984939.04,57963.4,61764.07,29097.34,35223.13,0,1,100.28,10733
2024-11-18,983131.28,57050.47,74470.82,28059.8,31700.89,0,1,100.44,10630
2024-11-25,996191.68,53236.05,66094.44,33325.98,50740.85,0,1,100.42,10898
2024-12-02,1009370.33,63053.05,65455.95,35560.57,38992.57,0,1,100.34,10982
2024-12-09,986003.72,42209.81,70049.92,24304.64,35358.75,0,1,100.31,10718
2024-12-16,956302.14,26329.4,75244.2,22898.73,27845.55,0,1,100.34,10542
2024-12-23,1035907.93,54970.31,59562.69,24974.88,38718.61,1,1,100.36,11015
2024-12-30,968835.47,31438.86,70004.78,20581.95,18065.8,0,1,100.23,10389
2025-01-06,869117.55,33597.43,50053.92,25066.93,9296.9,0,0,100.24,9328
2025-01-13,899226.31,41201.01,57271.33,7694.87,28670.7,0,0,100.27,9738
2025-01-20,870493.76,21090.18,31920.41,13673.93,28919.03,0,0,100.57,9436
2025-01-27,858755.66,24866.8,41994.09,13002.6,35036.77,0,0,100.79,9184
2025-02-03,948788.79,31148.93,37805.73,4710.19,46005.87,1,0,100.69,10214
2025-02-10,883120.78,33194.05,46715.1,11205.82,34658.94,0,0,100.66,9513
2025-02-17,866054.72,45077.46,57909.98,11486.82,27237.26,0,0,100.48,9659
2025-02-24,906709.81,48916.31,59280.98,15420.61,16564.53,0,0,100.41,10036
2025-03-03,869274.2,50076.05,61926.28,22664.58,14462.88,0,0,100.45,9407
2025-03-10,842577.81,40482.3,63930.89,16830.56,17222.51,0,0,100.59,9122
2025-03-17,827517.95,35523.28,65626.05,14101.26,8328.94,0,0,100.51,8880
2025-03-24,865701.81,52346.32,55184.63,20364.27,36117.87,0,0,100.43,9219
2025-03-31,895838.71,47855.3,62455.74,27425.81,31590.88,0,0,100.17,9726
2025-04-07,881665.9,52572.94,57863.26,18905.56,29549.56,0,0,100.15,9484
2025-04-14,942620.39,58173.15,52313.3,20846.68,34032.46,1,0,100.02,10237
2025-04-21,947754.4,51113.64,51100.57,29749.21,25875.1,1,0,99.96,10142
2025-04-28,845701.04,45674.99,49033.49,27284.65,11612.09,0,0,99.85,9116
2025-05-05,849548.59,38845.01,61995.75,32885.79,17924.02,0,0,99.84,9249
2025-05-12,815049.77,38353.21,51519.47,30604.94,4852.53,0,0,99.63,8896
2025-05-19,832328.91,27909.55,54304.11,34933.09,19039.11,0,0,99.46,9089
2025-05-26,866427.31,37276.88,55548.02,26697.01,27357.74,1,0,99.71,9286
2025-06-02,852286.93,33683.43,56863.53,31937.3,38138.91,0,0,99.56,9349
2025-06-09,833839.54,39372.03,56876.52,30742.18,41597.71,0,0,99.43,8983
2025-06-16,862706.15,33101.68,58526.85,25194.92,27386.09,0,0,99.65,9441
2025-06-23,868334.32,42401.18,61280.7,22637.92,30357.21,0,0,99.99,9437
2025-06-30,879659.39,40139.13,60034.13,32800.71,16907.65,0,0,99.85,9424
2025-07-07,849916.41,44424.2,53888.35,26313.93,2000.0,0,0,99.81,9207
2025-07-14,884082.11,60448.76,44834.57,21487.44,2000.0,1,0,99.85,9646
2025-07-21,920176.77,42920.24,53334.3,24541.71,21801.48,1,0,100.06,10063
2025-07-28,903998.88,42618.7,51912.95,29044.58,29905.09,0,0,99.94,9812
2025-08-04,897863.2,41590.55,47730.06,10407.07,37741.08,0,0,99.91,9913
2025-08-11,910932.65,34822.42,47841.63,12823.46,39449.78,0,0,100.0,10002
2025-08-18,946479.85,44609.39,59864.93,14339.33,36020.26,0,0,100.06,10262
2025-08-25,934786.04,52005.51,61667.78,25113.35,31920.78,0,0,100.01,10236
2025-09-01,925249.27,41651.76,54160.41,18327.61,8688.9,0,0,99.99,10250
2025-09-08,908013.84,41738.58,64523.72,20148.56,3903.0,0,0,99.83,10066
2025-09-15,876070.33,44865.05,66007.26,10323.21,6594.49,0,0,99.8,9400
2025-09-22,937786.68,43936.56,55892.1,10464.92,23910.13,0,0,99.77,10101
2025-09-29,1029306.37,38858.3,59095.2,18665.2,40166.49,1,0,99.8,11337
2025-10-06,946791.43,41509.26,44099.58,17391.12,35445.64,0,0,99.73,10185
2025-10-13,926260.59,32950.88,58495.76,20799.56,22133.76,0,0,99.79,9936
2025-10-20,911965.54,27766.55,55594.78,18316.97,22513.39,0,0,99.91,9864
2025-10-27,904335.21,31697.07,45465.41,22039.76,19455.97,0,0,99.93,9872
2025-11-03,968380.96,28389.25,59130.22,22970.53,12562.53,0,1,99.97,10516
2025-11-10,925732.83,35783.06,44421.09,27674.19,9248.08,0,1,99.98,9997
2025-11-17,975415.68,42740.88,56783.89,29434.6,14517.82,0,1,99.98,10535
2025-11-24,972830.15,53767.22,66536.39,18857.1,19705.49,0,1,99.89,10503
2025-12-01,1024311.42,62417.05,64604.37,17155.98,38797.23,0,1,99.93,11046
2025-12-08,1041943.56,42018.73,77609.17,34657.1,33732.9,0,1,99.92,11554
2025-12-15,1095464.58,54715.64,85286.46,36611.8,33609.43,0,1,100.17,11937
2025-12-22,1015588.74,43873.93,62092.12,26321.65,37793.47,0,1,100.36,11128
2025-12-29,1041306.0,52680.12,60417.7,22573.22,14537.74,0,1,100.4,11270
2026-01-05,1029078.12,52341.87,55086.34,32492.9,19194.47,1,0,100.31,11167
2026-01-12,954988.72,30829.61,60282.81,36449.82,12824.67,0,0,100.18,10309
2026-01-19,1002279.32,53352.13,39537.67,40262.35,13215.66,1,0,100.32,10629
2026-01-26,971876.48,33005.52,48725.5,33036.8,33005.65,0,0,100.35,10426
2026-02-02,966682.31,30905.46,60606.21,27513.38,27096.4,0,0,100.41,10326
2026-02-09,1066654.82,31854.0,41349.15,23603.04,52887.1,1,0,100.2,11369
2026-02-16,1029550.3,33954.17,47973.2,26656.1,38067.64,1,0,100.31,11071
2026-02-23,986861.34,35301.23,57692.51,23526.28,25502.23,0,0,100.36,10859
2026-03-02,946625.53,32303.62,60189.41,18329.15,25776.67,0,0,100.23,10285
2026-03-09,939294.56,38158.51,70247.5,32054.54,8932.91,0,0,100.18,10339
2026-03-16,900552.79,41286.46,65874.82,29232.5,6844.51,0,0,100.21,9830
2026-03-23,931011.04,51244.63,50202.87,24634.0,17026.99,0,0,100.21,10198
2026-03-30,961531.0,42847.49,61211.38,13203.21,25776.79,0,0,100.18,10361
2026-04-06,991064.71,44304.12,49801.93,21189.77,27096.68,1,0,100.17,10825
2026-04-13,947536.44,57842.22,58094.46,19510.1,45376.85,0,0,100.14,10372
2026-04-20,916387.26,49373.59,43403.78,18236.74,47748.21,0,0,100.15,9903
2026-04-27,925806.22,59767.99,42968.77,22310.92,44495.45,0,0,100.33,10119
2026-05-04,961535.15,60341.37,52285.13,19602.99,28993.12,1,0,100.02,10508
2026-05-11,898912.63,48439.28,57044.61,20799.82,26010.63,0,0,99.99,9716
2026-05-18,875432.96,49200.91,59212.8,21240.39,2000.0,0,0,100.01,9403
2026-05-25,889751.72,57303.03,49489.57,20959.28,12022.41,0,0,100.05,9553
2026-06-01,933105.5,54892.92,67070.46,11730.98,15818.68,0,0,100.01,10151
2026-06-08,895235.28,37726.19,58242.59,22598.04,32286.44,0,0,99.8,9764
2026-06-15,944518.91,35764.1,65833.33,21004.39,34464.87,0,0,99.83,10187
2026-06-22,923337.8,40375.95,52485.85,19000.35,38482.55,0,0,100.04,10039
2026-06-29,934723.7,26114.53,60762.31,35365.54,47616.57,0,0,99.86,10217
2026-07-06,932303.07,34637.49,48313.04,37037.3,24099.19,0,0,99.96,10196
2026-07-13,983095.83,39947.3,41473.43,36444.47,19363.18,1,0,99.92,10841
2026-07-20,916461.82,38055.23,52122.93,31949.24,10480.92,0,0,99.91,10089
2026-07-27,913731.75,32919.42,48677.46,38177.89,14777.75,0,0,99.79,9832
2026-08-03,979976.07,37373.03,44776.92,31932.66,21929.83,1,0,99.75,10820
2026-08-10,949869.28,30736.11,61518.25,33011.71,34590.13,0,0,99.9,10272
2026-08-17,1080926.88,46820.44,53435.91,26328.27,46622.17,1,0,99.97,11854
2026-08-24,1020205.68,47160.94,60654.65,33259.34,51177.42,0,0,100.18,11096
